Number,Name,Credits,Offered,Prerequisites,Concurrent,BS CS Required,Software Security,Data Science,Software App Dev
121,Computer Science I,3,Fall and Spring,,,X,,,
122,Computer Science II,3,Fall and Spring,121,,X,,,
212,Computational Modeling,3,On Demand,121,,,,,
222,Introduction to Data Science,3,Fall and Spring,121,,,,X,
223,Algorithm&Abstract Data Struct,3,Fall and Spring,122,,X,,,
224,Software Development,3,Fall and Spring,122,,X,,,
260,Computer Organization,3,Fall and Spring,122,,X,,,
321,Database Management Systems,3,Fall and Spring,122 or 222,,X,,,
322,Data Science Algorithms,3,Fall,122 or 222,,,,X,
323,Machine Lrng & Intllgnt Systms,3,Fall,322 or 223,,,,2 of 3,
324,Big Data Analytics,3,"Spring, even years",321 and 223 or 322,,,,2 of 3,
325,Data Science Project Lab,3,"Spring, odd years",322 or 323,,,,2 of 3,
326,Organization of Program Langs,3,Spring,223,,X,,,
331,UI/UX Design,3,Spring,122,,,,,X
332,Web Development,3,Fall,122,,,,,X
333,Mobile App Development,3,Fall,122,,,,,X
334,Linux and DevOps,3,Spring,122,,,,,X
341,Internet of Things,3,"Spring, odd years",122,,,1 of 4,,
346,Operating Systems,3,Fall,122 and 260,,X,1 of 4,,
348,Computer Security,3,Spring,223 and 260,,X,,,
349,Cybersecurity Project Lab,3,"Spring, even years",260,,,X,,
351,Theory of Computation,3,"Fall, odd years",122,,X,,,
353,Applied Cryptography,3,Fall,122,,,X,,
425,Computer Graphics,3,"Spring, odd years",223,,,,,
431,Computer Hrdwr Dsg & Achtr,3,,260,,,,,
435,Parallel & Cloud Computing,3,On Demand,260,,,,,
436,Biomedical Informatics&Comput,3,On Demand,260,,,,,
447,Computer Networks,3,"Spring, even years",223 and 260,,,1 of 4,,
450,Design & Analysis-Comp Algorim,3,"Fall, even years",223,,X,,,
455,Chaos & Dynamical Systems,3,"Spring, even years",,,,,,
475,Speech&NaturalLangProcessing,3,"Spring, odd years",223 or 322,,,,X,
491,Software Engineering,2,Fall,223 and 224,491L and 499,X,,,
491L,Senior Design Project Lab I,1,Fall,223 and 224,491 and 499,X,,,
492L,Senior Design Project Lab II,3,Spring,491 and 491L,,X,,,
499,Computers and Society,1,Fall,223 and 224,491 and 491L,X,,,
